Customer_Id,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_Of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_On_Product_Research(Hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_With_Ads,Device_Used_For_Shopping,Payment_Method,Time_Of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_To_Decision,Purchase_Day,Is_Weekend
23-302-7502,30,female,high,widowed,high school,high,alameda,health care,58.51,2,online,4,4.0,0.5,unknown,not sensitive,0,4,medium,desktop,paypal,2024-12-14,True,True,planned,no preference,14,Saturday,True
90-069-8934,40,male,high,divorced,master's,high,dhankuta,hotels,109.29,3,online,3,4.0,0.0,medium,somewhat sensitive,2,2,high,desktop,debit card,2024-08-11,False,True,wants-based,express,11,Sunday,True
45-073-7243,37,male,high,single,bachelor's,high,jindong,furniture,356.45,6,mixed,5,5.0,2.0,low,very sensitive,0,7,medium,smartphone,credit card,2024-10-18,False,True,planned,standard,8,Friday,False
89-883-2101,38,female,middle,divorced,bachelor's,high,ngeru,mobile accessories,236.99,10,mixed,2,4.0,0.0,high,very sensitive,0,8,unknown,tablet,paypal,2024-12-09,True,True,impulsive,no preference,13,Monday,False
00-477-9449,36,male,middle,widowed,bachelor's,high,white rock,packages),454.39,10,in-store,2,4.0,2.0,medium,not sensitive,0,3,unknown,desktop,other,2024-07-23,False,True,impulsive,standard,3,Tuesday,False
67-159-7366,29,female,high,widowed,bachelor's,middle,monastyrshchina,electronics,490.75,10,in-store,2,4.0,1.0,unknown,very sensitive,1,4,low,smartphone,debit card,2024-07-08,False,False,wants-based,standard,13,Monday,False
85-691-4293,21,female,middle,widowed,high school,middle,pangkalanbunut,software & apps,463.07,7,mixed,4,2.0,0.0,unknown,very sensitive,1,2,medium,smartphone,paypal,2024-07-23,True,False,wants-based,no preference,11,Tuesday,False
56-085-0464,36,female,high,married,master's,high,lederaba,baby products,56.74,5,online,5,1.0,0.0,medium,very sensitive,0,6,unknown,smartphone,other,2024-07-31,True,False,impulsive,express,7,Wednesday,False
33-264-2822,38,male,high,divorced,bachelor's,middle,lugo,toys & games,371.32,7,in-store,4,4.0,0.7,medium,not sensitive,2,1,unknown,tablet,debit card,2024-02-25,True,True,impulsive,standard,6,Sunday,True
95-478-2650,37,female,middle,single,bachelor's,middle,sao roque,software & apps,461.0,7,online,2,4.0,1.0,high,not sensitive,0,8,low,tablet,cash,2024-07-10,False,True,wants-based,standard,9,Wednesday,False
04-349-6759,33,female,high,married,bachelor's,high,bani khaddash,food & beverages,253.37,6,in-store,4,1.0,1.0,unknown,very sensitive,2,10,high,tablet,other,2024-12-25,True,False,impulsive,standard,8,Wednesday,False
21-755-8745,37,male,high,widowed,high school,high,montpellier,packages),136.53,3,mixed,2,4.0,2.0,high,not sensitive,1,3,high,smartphone,paypal,2024-05-31,True,True,planned,standard,10,Friday,False
29-625-7057,31,female,middle,single,master's,middle,nesovice,arts & crafts,489.05,10,online,5,3.0,0.0,high,somewhat sensitive,2,2,high,desktop,paypal,2024-09-04,True,True,planned,standard,7,Wednesday,False
58-623-8404,50,male,high,single,master's,high,pasirhuni,electronics,81.91,10,in-store,3,4.0,1.0,medium,very sensitive,0,4,unknown,desktop,debit card,2024-07-24,False,True,need-based,express,2,Wednesday,False
56-506-4709,50,male,middle,married,bachelor's,middle,glendale,arts & crafts,135.8,2,in-store,2,5.0,1.0,low,somewhat sensitive,1,2,high,desktop,debit card,2024-11-16,False,True,planned,no preference,9,Saturday,True
25-839-8670,45,female,middle,widowed,high school,middle,tala,health supplements,382.24,12,in-store,1,5.0,1.0,high,very sensitive,1,4,high,tablet,paypal,2024-07-06,True,True,planned,standard,3,Saturday,True
89-194-0596,33,female,high,married,bachelor's,middle,marseille,gardening & outdoors,354.7,5,online,4,2.0,0.0,unknown,very sensitive,2,7,unknown,smartphone,other,2024-02-10,True,False,planned,express,12,Saturday,True
55-163-1389,24,male,high,divorced,bachelor's,high,nasielsk,mobile accessories,433.82,6,online,3,2.0,1.0,medium,somewhat sensitive,0,8,medium,desktop,other,2024-06-29,False,True,planned,express,10,Saturday,True
28-225-4286,39,genderfluid,high,married,bachelor's,middle,paris 06,mobile accessories,282.13,5,mixed,4,5.0,1.0,unknown,somewhat sensitive,1,2,unknown,tablet,other,2024-01-26,True,False,need-based,standard,9,Friday,False
14-305-8712,48,male,high,widowed,high school,middle,bronnitsy,mobile accessories,454.38,10,online,3,4.0,0.0,unknown,somewhat sensitive,0,10,medium,smartphone,paypal,2024-06-15,True,False,impulsive,no preference,7,Saturday,True
85-738-6864,25,male,middle,married,high school,high,inayauan,mobile accessories,138.88,7,in-store,2,4.0,1.0,unknown,not sensitive,1,3,unknown,tablet,cash,2024-06-08,True,False,planned,no preference,4,Saturday,True
17-198-5155,30,female,high,single,bachelor's,high,qianjin,books,52.34,6,in-store,3,4.0,1.0,low,somewhat sensitive,1,5,medium,tablet,paypal,2024-05-21,True,True,planned,express,13,Tuesday,False
15-354-9904,34,male,middle,single,bachelor's,high,bagahanlad,groceries,338.2,7,online,3,5.0,0.0,unknown,not sensitive,1,9,medium,tablet,other,2024-09-01,True,False,wants-based,standard,7,Sunday,True
35-198-9248,21,female,middle,widowed,high school,middle,rzewnie,toys & games,263.15,3,in-store,1,5.0,1.0,high,somewhat sensitive,1,10,high,tablet,other,2024-03-04,True,False,impulsive,express,10,Monday,False
03-950-6074,36,female,middle,married,master's,middle,strabychovo,software & apps,371.58,2,mixed,2,1.0,2.0,high,not sensitive,0,10,unknown,smartphone,cash,2024-09-13,True,True,wants-based,no preference,11,Friday,False
19-999-0134,30,male,middle,widowed,bachelor's,middle,hongqi,health care,353.4,2,online,2,3.0,2.0,medium,very sensitive,0,1,low,tablet,credit card,2024-12-06,False,True,impulsive,no preference,3,Friday,False
57-989-1487,46,female,middle,divorced,high school,high,oeoh,software & apps,329.41,5,in-store,5,3.0,0.0,medium,somewhat sensitive,1,1,high,desktop,cash,2024-10-21,True,True,need-based,no preference,2,Monday,False
07-816-2673,46,female,middle,married,master's,middle,topol’noye,food & beverages,54.46,5,online,4,5.0,1.0,high,not sensitive,1,1,low,tablet,other,2024-11-17,False,False,impulsive,standard,1,Sunday,True
70-761-3550,43,male,high,widowed,master's,middle,kovarov,books,257.12,8,online,2,1.0,0.0,high,not sensitive,2,1,high,smartphone,other,2024-07-24,True,False,impulsive,no preference,11,Wednesday,False
38-242-3251,43,male,high,divorced,bachelor's,middle,majdal bani fadil,arts & crafts,293.04,11,in-store,4,2.0,1.0,unknown,very sensitive,1,3,low,desktop,paypal,2024-03-03,True,False,planned,standard,6,Sunday,True
95-525-0842,34,male,high,single,master's,high,delta del tigre,books,110.4,12,mixed,5,1.0,2.0,unknown,somewhat sensitive,1,3,medium,tablet,debit card,2024-11-13,False,False,need-based,standard,12,Wednesday,False
37-101-4922,42,female,middle,married,master's,high,santa cruz la laguna,mobile accessories,76.27,4,in-store,2,3.0,0.0,unknown,not sensitive,0,8,medium,smartphone,credit card,2024-12-24,True,False,wants-based,standard,10,Tuesday,False
37-128-5425,40,female,high,widowed,bachelor's,middle,manchester,toys & games,392.08,6,online,2,5.0,1.0,unknown,very sensitive,2,7,high,tablet,other,2024-08-04,True,True,need-based,express,6,Sunday,True
27-439-9545,25,female,high,married,bachelor's,high,norrkoping,toys & games,51.22,6,online,2,1.0,0.0,unknown,very sensitive,1,5,medium,tablet,cash,2024-08-25,True,True,planned,standard,5,Sunday,True
37-126-7954,38,male,middle,divorced,bachelor's,high,sosno,clothing,227.57,2,online,1,2.0,0.0,high,somewhat sensitive,1,6,unknown,tablet,paypal,2024-08-17,False,True,wants-based,no preference,14,Saturday,True
82-990-0504,46,female,middle,widowed,bachelor's,middle,pella,groceries,378.87,7,online,1,2.0,0.0,unknown,very sensitive,1,2,low,tablet,paypal,2024-04-01,True,False,planned,no preference,5,Monday,False
21-734-0212,24,female,middle,widowed,high school,high,namur,beauty & personal care,423.92,8,mixed,3,1.0,2.0,low,somewhat sensitive,0,9,high,tablet,credit card,2024-08-24,False,True,need-based,standard,8,Saturday,True
76-148-9413,43,non-binary,high,widowed,master's,middle,benevides,arts & crafts,111.24,9,mixed,5,2.0,0.0,medium,somewhat sensitive,0,2,high,smartphone,credit card,2024-08-06,True,False,need-based,no preference,12,Tuesday,False
53-639-3774,37,female,middle,single,bachelor's,middle,qinghaihu,travel & leisure (flights,299.31,7,mixed,2,4.0,1.0,medium,very sensitive,2,3,unknown,desktop,debit card,2024-02-01,True,False,need-based,express,3,Thursday,False
20-817-9584,42,male,middle,widowed,master's,middle,alfeizerao,animal feed,169.28,7,mixed,4,4.0,1.0,unknown,somewhat sensitive,2,1,low,tablet,cash,2024-06-17,True,True,impulsive,no preference,6,Monday,False
18-655-3670,29,male,middle,widowed,high school,high,prostredni becva,office supplies,449.13,9,in-store,2,1.0,0.5,medium,not sensitive,2,2,low,tablet,credit card,2024-06-12,False,False,planned,no preference,14,Wednesday,False
72-431-5021,35,female,high,married,master's,high,oeiras,animal feed,427.48,6,online,4,2.0,0.0,medium,not sensitive,1,1,low,smartphone,debit card,2024-12-16,True,False,impulsive,standard,11,Monday,False
07-479-3919,27,female,middle,single,high school,high,kythnos,sports & outdoors,171.61,3,online,3,1.0,2.0,low,very sensitive,1,6,high,desktop,credit card,2024-10-31,True,False,planned,express,8,Thursday,False
17-032-6274,40,female,high,married,bachelor's,high,rizal,books,240.28,3,online,3,5.0,2.0,high,not sensitive,2,7,medium,tablet,cash,2024-12-07,True,True,impulsive,standard,4,Saturday,True
64-166-9097,34,female,high,single,high school,high,fullerton,furniture,310.17,6,in-store,2,3.0,2.0,medium,very sensitive,0,10,unknown,smartphone,debit card,2024-02-24,False,False,wants-based,no preference,13,Saturday,True
39-499-3854,25,female,middle,married,bachelor's,middle,huaidao,hotels,166.0,10,online,5,3.0,0.0,high,not sensitive,2,10,medium,smartphone,paypal,2024-06-11,False,False,impulsive,express,5,Tuesday,False
39-636-5871,38,male,high,divorced,bachelor's,high,bilice,baby products,362.01,2,in-store,2,4.0,1.0,unknown,somewhat sensitive,2,1,medium,tablet,debit card,2024-11-24,False,False,impulsive,express,1,Sunday,True
71-667-2334,33,polygender,high,married,bachelor's,middle,isla verde,travel & leisure (flights,348.5,3,mixed,2,3.0,2.0,unknown,not sensitive,0,6,medium,smartphone,debit card,2024-07-09,False,False,planned,no preference,8,Tuesday,False
35-192-9050,32,female,middle,married,bachelor's,high,hunkuyi,animal feed,395.97,9,in-store,1,4.0,0.0,medium,very sensitive,1,6,low,tablet,debit card,2024-08-18,True,True,wants-based,standard,1,Sunday,True
91-440-0011,50,female,middle,widowed,high school,middle,shiree,sports & outdoors,474.99,9,online,2,4.0,1.0,unknown,somewhat sensitive,0,8,high,desktop,credit card,2024-07-10,True,False,planned,standard,5,Wednesday,False
20-830-4758,35,female,middle,widowed,high school,middle,strezhevoy,luxury goods,286.43,4,mixed,1,3.0,0.0,high,very sensitive,2,3,unknown,desktop,cash,2024-07-12,True,False,wants-based,express,14,Friday,False
84-337-1016,19,genderfluid,high,widowed,high school,high,longxing,health care,333.32,8,online,1,5.0,0.0,low,very sensitive,0,3,high,smartphone,credit card,2024-10-05,True,False,planned,no preference,3,Saturday,True
09-346-4992,46,bigender,high,single,master's,high,jesus menendez,electronics,223.47,9,mixed,2,1.0,1.0,high,somewhat sensitive,0,2,unknown,tablet,debit card,2024-09-20,True,True,need-based,standard,8,Friday,False
75-083-3608,23,male,middle,divorced,master's,middle,hongguang,sports & outdoors,414.83,2,mixed,2,4.0,0.5,high,somewhat sensitive,2,4,high,desktop,credit card,2024-07-16,False,False,planned,express,8,Tuesday,False
29-779-7209,34,female,high,widowed,master's,high,pilaya,books,391.38,5,in-store,5,2.0,2.0,low,not sensitive,0,7,low,tablet,other,2024-04-02,False,False,need-based,no preference,8,Tuesday,False
12-409-5166,48,male,middle,divorced,bachelor's,high,camp ithier,furniture,368.4,11,online,2,5.0,1.0,high,not sensitive,0,3,high,desktop,credit card,2024-06-21,False,False,need-based,no preference,13,Friday,False
07-024-4995,27,bigender,middle,widowed,high school,middle,holboo,furniture,328.36,11,in-store,1,4.0,2.0,high,very sensitive,0,4,unknown,tablet,cash,2024-03-11,False,True,wants-based,express,4,Monday,False
74-478-5950,37,female,middle,divorced,bachelor's,middle,luxi,home appliances,424.39,9,mixed,3,1.0,1.0,high,somewhat sensitive,0,7,low,smartphone,credit card,2024-02-26,True,False,wants-based,no preference,13,Monday,False
31-395-1286,47,male,high,married,high school,high,ostashkov,health supplements,197.12,10,in-store,4,4.0,0.0,low,somewhat sensitive,1,1,medium,tablet,other,2024-06-14,True,True,wants-based,standard,10,Friday,False
60-838-4334,45,male,high,single,bachelor's,high,hongshanzui,books,454.57,9,mixed,2,5.0,1.0,low,somewhat sensitive,0,1,medium,smartphone,debit card,2024-03-24,True,True,wants-based,express,1,Sunday,True
71-197-8227,37,male,middle,divorced,high school,high,tocoa,electronics,298.38,4,mixed,3,4.0,2.0,high,very sensitive,0,2,low,tablet,cash,2024-04-27,False,True,need-based,standard,3,Saturday,True
15-530-3861,36,male,high,divorced,high school,high,bayan tuohai,clothing,111.7,6,online,4,5.0,0.0,medium,somewhat sensitive,2,5,high,tablet,credit card,2024-11-07,False,False,planned,standard,7,Thursday,False
30-567-4471,34,male,middle,married,bachelor's,middle,parumasan,clothing,373.69,10,online,3,2.0,2.0,medium,not sensitive,1,8,unknown,tablet,credit card,2024-12-04,False,True,impulsive,express,14,Wednesday,False
04-465-1819,37,male,high,widowed,master's,middle,karpogory,jewelry & accessories,354.87,5,in-store,1,1.0,0.0,unknown,not sensitive,2,4,unknown,desktop,cash,2024-04-18,False,True,planned,express,12,Thursday,False
69-692-0614,18,female,middle,widowed,bachelor's,high,shahzadpur,mobile accessories,214.48,2,online,4,2.0,2.0,unknown,very sensitive,1,3,unknown,tablet,cash,2024-04-21,True,True,wants-based,express,2,Sunday,True
12-839-8066,20,male,high,divorced,bachelor's,middle,muaratiga,software & apps,399.58,6,in-store,3,4.0,0.0,unknown,very sensitive,1,8,low,tablet,other,2024-09-25,True,False,need-based,standard,7,Wednesday,False
05-465-8765,27,female,high,widowed,high school,middle,gjegjan,luxury goods,380.99,7,mixed,1,2.0,1.0,low,somewhat sensitive,0,1,medium,desktop,cash,2024-12-09,True,True,need-based,no preference,8,Monday,False
81-580-3810,36,male,middle,married,high school,high,creteil,food & beverages,79.0,10,online,1,2.0,1.0,medium,very sensitive,2,6,low,smartphone,cash,2024-09-14,False,True,planned,standard,7,Saturday,True
74-353-6312,46,female,middle,married,bachelor's,middle,pameungpeuk,groceries,113.88,2,online,5,2.0,2.0,medium,not sensitive,2,4,high,tablet,paypal,2024-03-29,False,False,wants-based,express,9,Friday,False
78-824-1887,26,male,middle,married,high school,middle,junshan,travel & leisure (flights,121.57,4,mixed,1,5.0,0.0,high,not sensitive,0,4,high,desktop,other,2024-06-06,False,True,impulsive,no preference,13,Thursday,False
31-218-0024,21,female,high,divorced,high school,middle,lewotola,health supplements,215.54,11,online,3,1.0,2.0,low,somewhat sensitive,2,6,high,desktop,credit card,2024-04-08,True,True,planned,no preference,10,Monday,False
15-711-4107,43,male,high,married,bachelor's,high,laocheng,furniture,87.03,10,mixed,1,1.0,0.0,low,very sensitive,1,5,high,desktop,paypal,2024-08-11,False,True,need-based,no preference,7,Sunday,True
76-672-1193,19,male,high,divorced,high school,high,guacari,travel & leisure (flights,111.75,4,in-store,1,4.0,0.0,high,not sensitive,1,6,high,tablet,debit card,2024-10-10,False,True,impulsive,standard,8,Thursday,False
46-503-5589,41,female,high,widowed,master's,high,sancang,office supplies,136.2,2,mixed,3,2.0,2.0,low,not sensitive,0,1,high,tablet,paypal,2024-06-15,True,True,need-based,express,9,Saturday,True
87-499-6916,48,male,middle,married,high school,middle,ndewel,food & beverages,439.31,4,in-store,3,2.0,1.0,medium,very sensitive,0,6,medium,smartphone,debit card,2024-08-11,False,True,wants-based,no preference,7,Sunday,True
30-520-8656,19,female,middle,married,bachelor's,middle,san patricio,health care,194.93,9,online,4,4.0,1.0,high,somewhat sensitive,0,4,unknown,tablet,other,2024-03-28,True,True,impulsive,no preference,5,Thursday,False
36-323-3504,29,male,middle,widowed,master's,high,fengtai,food & beverages,377.67,8,online,5,3.0,0.0,unknown,very sensitive,2,1,high,desktop,paypal,2024-05-13,True,False,need-based,no preference,14,Monday,False
93-810-4051,26,agender,high,single,master's,high,dawran ad daydah,beauty & personal care,108.61,10,in-store,3,2.0,0.0,unknown,very sensitive,0,3,low,smartphone,cash,2024-11-23,True,True,need-based,no preference,14,Saturday,True
66-515-3648,20,female,middle,married,bachelor's,middle,magdalena,health care,366.77,7,mixed,4,3.0,2.0,low,not sensitive,0,9,unknown,smartphone,debit card,2024-09-18,False,False,impulsive,standard,1,Wednesday,False
09-216-1957,31,female,high,divorced,master's,middle,lesnica,jewelry & accessories,178.04,5,in-store,5,1.0,2.0,medium,somewhat sensitive,0,5,high,tablet,credit card,2024-07-16,False,False,need-based,no preference,12,Tuesday,False
23-253-2565,23,female,high,divorced,high school,high,hinlayagan ilaud,toys & games,461.09,8,online,4,1.0,0.0,medium,somewhat sensitive,0,4,medium,smartphone,debit card,2024-08-03,True,False,need-based,no preference,8,Saturday,True
74-509-4985,19,female,high,single,high school,middle,forshaga,hotels,211.16,5,in-store,2,3.0,1.0,high,very sensitive,0,3,unknown,smartphone,paypal,2024-06-28,False,False,planned,standard,2,Friday,False
05-857-1572,23,female,middle,widowed,bachelor's,high,rakszawa,animal feed,421.95,8,mixed,3,5.0,0.0,medium,not sensitive,1,1,unknown,smartphone,other,2024-03-18,False,True,need-based,no preference,7,Monday,False
26-521-8328,49,female,middle,divorced,bachelor's,high,fengjiang,furniture,378.59,5,online,2,1.0,0.0,unknown,somewhat sensitive,0,4,high,desktop,other,2024-10-15,False,False,wants-based,no preference,14,Tuesday,False
31-147-6197,23,non-binary,high,divorced,high school,high,jiangcun,office supplies,268.93,2,mixed,5,5.0,1.0,medium,very sensitive,1,3,unknown,tablet,debit card,2024-11-23,False,False,impulsive,express,8,Saturday,True
90-093-0469,42,male,middle,divorced,bachelor's,high,okuchi,health care,444.87,11,online,5,4.0,0.0,medium,not sensitive,1,8,low,desktop,other,2024-11-29,False,False,wants-based,no preference,7,Friday,False
38-935-1865,18,female,high,widowed,bachelor's,high,novoukrainskiy,beauty & personal care,160.82,7,in-store,3,1.0,1.0,high,somewhat sensitive,0,1,high,smartphone,cash,2024-07-09,True,True,wants-based,no preference,3,Tuesday,False
75-953-8663,35,male,high,single,master's,middle,acobambilla,hotels,494.18,6,mixed,4,5.0,1.0,medium,not sensitive,1,2,unknown,desktop,cash,2024-08-03,False,False,need-based,standard,14,Saturday,True
38-478-2681,22,male,middle,single,bachelor's,middle,kyonju,home appliances,177.05,5,online,3,1.0,1.0,unknown,somewhat sensitive,2,1,low,tablet,cash,2024-12-04,True,True,impulsive,standard,1,Wednesday,False
70-895-5298,28,female,middle,married,master's,high,pomar,food & beverages,450.66,7,in-store,2,5.0,0.0,high,somewhat sensitive,2,4,medium,tablet,credit card,2024-06-13,False,True,need-based,no preference,9,Thursday,False
02-653-5884,42,female,high,married,bachelor's,middle,zaltan,arts & crafts,164.27,6,online,5,3.0,2.0,high,not sensitive,2,7,low,desktop,paypal,2024-07-13,True,False,wants-based,no preference,14,Saturday,True
11-719-8800,37,female,middle,widowed,master's,high,trelaze,food & beverages,346.36,12,mixed,4,5.0,0.0,medium,somewhat sensitive,0,7,medium,smartphone,credit card,2024-09-04,False,False,need-based,standard,14,Wednesday,False
59-355-5251,33,female,middle,widowed,high school,high,messina,animal feed,377.77,9,mixed,4,2.0,1.0,medium,not sensitive,1,5,medium,tablet,credit card,2024-08-26,True,True,impulsive,standard,3,Monday,False
82-572-9091,46,female,middle,widowed,high school,middle,mragowo,travel & leisure (flights,163.41,2,in-store,5,5.0,2.0,low,not sensitive,1,8,high,desktop,other,2024-02-25,True,True,need-based,express,4,Sunday,True
86-044-1071,30,female,middle,divorced,master's,middle,ngawi,hotels,467.58,10,mixed,1,2.0,0.0,unknown,somewhat sensitive,1,6,low,desktop,paypal,2024-04-15,True,True,wants-based,standard,7,Monday,False
08-733-0300,39,female,middle,widowed,bachelor's,high,oslo,books,247.51,10,mixed,2,1.0,2.0,low,somewhat sensitive,1,8,low,tablet,credit card,2024-07-01,True,False,impulsive,standard,2,Monday,False
70-108-1493,25,female,middle,single,high school,high,dobrica,office supplies,365.1,3,in-store,2,3.0,0.0,unknown,not sensitive,1,3,high,desktop,debit card,2024-08-30,False,True,wants-based,no preference,1,Friday,False
46-230-8307,38,female,high,single,master's,middle,la roche-sur-yon,health care,485.42,5,online,1,2.0,2.0,high,somewhat sensitive,1,6,high,desktop,other,2024-11-13,True,False,wants-based,no preference,4,Wednesday,False
74-431-0242,41,female,middle,widowed,bachelor's,high,point pedro,health care,250.54,4,in-store,3,3.0,1.0,high,not sensitive,2,10,unknown,desktop,credit card,2024-12-27,False,False,wants-based,no preference,3,Friday,False
78-272-6417,49,female,middle,divorced,high school,high,marseille,jewelry & accessories,163.14,5,mixed,5,4.0,0.0,low,somewhat sensitive,1,2,unknown,desktop,debit card,2024-08-07,True,True,planned,no preference,1,Wednesday,False
13-792-4356,21,male,high,divorced,bachelor's,middle,tianbao,gardening & outdoors,162.31,8,in-store,5,1.0,1.0,high,very sensitive,1,2,medium,tablet,credit card,2024-10-05,False,False,need-based,no preference,11,Saturday,True
04-563-9091,37,male,middle,widowed,master's,high,puqian,office supplies,328.21,7,mixed,5,5.0,2.0,low,not sensitive,2,2,low,smartphone,credit card,2024-02-14,False,False,need-based,no preference,12,Wednesday,False
79-592-5396,30,female,high,married,master's,high,binalbagan,sports & outdoors,268.59,4,online,3,3.0,1.0,high,very sensitive,1,1,medium,desktop,debit card,2024-04-05,True,True,need-based,standard,3,Friday,False
39-952-4459,18,female,high,divorced,high school,high,tessalit,electronics,257.37,7,online,3,3.0,0.0,medium,very sensitive,2,5,medium,smartphone,paypal,2024-02-01,True,False,wants-based,express,13,Thursday,False
67-935-7964,41,female,middle,single,high school,high,nikolayevsk,office supplies,205.49,4,in-store,5,3.0,2.0,low,somewhat sensitive,2,2,high,tablet,cash,2024-11-09,True,False,need-based,express,11,Saturday,True
26-828-2720,40,male,high,divorced,master's,high,dashuipo,mobile accessories,407.91,7,in-store,2,5.0,0.0,low,not sensitive,0,5,low,tablet,other,2024-06-17,True,True,need-based,standard,14,Monday,False
57-410-7415,33,female,high,divorced,bachelor's,high,tyn nad vltavou,food & beverages,254.73,6,online,4,3.0,0.0,medium,very sensitive,0,3,low,smartphone,other,2024-06-01,True,True,impulsive,express,3,Saturday,True
62-989-8214,30,female,middle,divorced,bachelor's,high,kaum kaler,clothing,397.78,12,online,3,3.0,1.0,medium,not sensitive,2,7,medium,smartphone,paypal,2024-09-24,False,True,impulsive,no preference,11,Tuesday,False
73-827-2774,33,female,high,married,bachelor's,high,gandapura,electronics,305.29,3,online,2,3.0,1.0,medium,very sensitive,1,8,medium,desktop,debit card,2024-09-05,True,True,impulsive,standard,10,Thursday,False
19-643-1879,45,male,middle,divorced,high school,high,kawangkoan,food & beverages,257.86,6,online,2,2.0,0.0,unknown,somewhat sensitive,0,4,high,tablet,paypal,2024-06-12,True,True,need-based,express,1,Wednesday,False
57-345-3921,42,female,high,single,high school,middle,mondorf-les-bains,jewelry & accessories,393.45,12,in-store,3,1.0,0.0,low,somewhat sensitive,2,10,medium,desktop,credit card,2024-10-06,False,False,need-based,express,12,Sunday,True
98-817-6731,30,male,high,married,bachelor's,middle,manwakh,health supplements,58.49,6,online,2,2.0,0.0,medium,very sensitive,0,8,high,tablet,other,2024-07-29,True,True,planned,express,7,Monday,False
31-788-0864,42,male,middle,single,high school,middle,karlstad,beauty & personal care,226.48,11,in-store,5,3.0,2.0,unknown,not sensitive,2,7,high,tablet,debit card,2024-10-18,True,False,need-based,express,11,Friday,False
27-806-4972,26,female,high,single,master's,middle,obong,health care,469.22,6,in-store,1,1.0,1.0,high,not sensitive,0,1,low,tablet,credit card,2024-08-07,False,False,wants-based,no preference,7,Wednesday,False
